shard 2/3: 281 docs, 2298 sentences, 0 already done, 2298 to run
  50/2298 calls, $0.0009 this session
  100/2298 calls, $0.0023 this session
  150/2298 calls, $0.0038 this session
  200/2298 calls, $0.0053 this session
  250/2298 calls, $0.0070 this session
  300/2298 calls, $0.0084 this session
  350/2298 calls, $0.0099 this session
  400/2298 calls, $0.0117 this session
  450/2298 calls, $0.0133 this session
  500/2298 calls, $0.0146 this session
  550/2298 calls, $0.0161 this session
  600/2298 calls, $0.0178 this session
  650/2298 calls, $0.0195 this session
  700/2298 calls, $0.0210 this session
  750/2298 calls, $0.0224 this session
  800/2298 calls, $0.0239 this session
  850/2298 calls, $0.0253 this session
  900/2298 calls, $0.0268 this session
  950/2298 calls, $0.0283 this session
  1000/2298 calls, $0.0298 this session
  1050/2298 calls, $0.0314 this session
  1100/2298 calls, $0.0330 this session
  1150/2298 calls, $0.0345 this session
  1200/2298 calls, $0.0362 this session
  1250/2298 calls, $0.0376 this session
  1300/2298 calls, $0.0390 this session
  1350/2298 calls, $0.0405 this session
  1400/2298 calls, $0.0422 this session
  1450/2298 calls, $0.0441 this session
  1500/2298 calls, $0.0456 this session
  1550/2298 calls, $0.0473 this session
  1600/2298 calls, $0.0491 this session
  1650/2298 calls, $0.0505 this session
  1700/2298 calls, $0.0522 this session
  1750/2298 calls, $0.0539 this session
  1800/2298 calls, $0.0554 this session
  1850/2298 calls, $0.0569 this session
  1900/2298 calls, $0.0583 this session
  1950/2298 calls, $0.0598 this session
  2000/2298 calls, $0.0611 this session
  2050/2298 calls, $0.0626 this session
  2100/2298 calls, $0.0642 this session
  2150/2298 calls, $0.0658 this session
  2200/2298 calls, $0.0675 this session
  2250/2298 calls, $0.0690 this session
  2298/2298 calls, $0.0705 this session
DONE shard 2: $0.070516 this session
