shard 1/3: 282 docs, 2282 sentences, 0 already done, 2282 to run
  50/2282 calls, $0.0009 this session
  100/2282 calls, $0.0024 this session
  150/2282 calls, $0.0041 this session
  200/2282 calls, $0.0056 this session
  250/2282 calls, $0.0072 this session
  300/2282 calls, $0.0088 this session
  350/2282 calls, $0.0103 this session
  400/2282 calls, $0.0118 this session
  450/2282 calls, $0.0133 this session
  500/2282 calls, $0.0148 this session
  550/2282 calls, $0.0164 this session
  600/2282 calls, $0.0179 this session
  650/2282 calls, $0.0195 this session
  700/2282 calls, $0.0211 this session
  750/2282 calls, $0.0226 this session
  800/2282 calls, $0.0243 this session
  850/2282 calls, $0.0263 this session
  900/2282 calls, $0.0278 this session
  950/2282 calls, $0.0292 this session
  1000/2282 calls, $0.0307 this session
  1050/2282 calls, $0.0322 this session
  1100/2282 calls, $0.0337 this session
  1150/2282 calls, $0.0351 this session
  1200/2282 calls, $0.0366 this session
  1250/2282 calls, $0.0381 this session
  1300/2282 calls, $0.0396 this session
  1350/2282 calls, $0.0410 this session
  1400/2282 calls, $0.0424 this session
  1450/2282 calls, $0.0439 this session
  1500/2282 calls, $0.0455 this session
  1550/2282 calls, $0.0469 this session
  1600/2282 calls, $0.0485 this session
  1650/2282 calls, $0.0500 this session
  1700/2282 calls, $0.0515 this session
  1750/2282 calls, $0.0529 this session
  1800/2282 calls, $0.0544 this session
  1850/2282 calls, $0.0559 this session
  1900/2282 calls, $0.0574 this session
  1950/2282 calls, $0.0591 this session
  2000/2282 calls, $0.0606 this session
  2050/2282 calls, $0.0621 this session
  2100/2282 calls, $0.0636 this session
  2150/2282 calls, $0.0650 this session
  2200/2282 calls, $0.0666 this session
  2250/2282 calls, $0.0679 this session
  2282/2282 calls, $0.0688 this session
DONE shard 1: $0.068825 this session
