deepseek/sentence shard 1/3: 167 docs, 0 calls already done, 1773 to run
  50/1773 calls, $0.0043 this session
  100/1773 calls, $0.0083 this session
  150/1773 calls, $0.0120 this session
  200/1773 calls, $0.0162 this session
  250/1773 calls, $0.0207 this session
  300/1773 calls, $0.0247 this session
  350/1773 calls, $0.0285 this session
  400/1773 calls, $0.0319 this session
  450/1773 calls, $0.0361 this session
  500/1773 calls, $0.0398 this session
  550/1773 calls, $0.0438 this session
  600/1773 calls, $0.0475 this session
  650/1773 calls, $0.0513 this session
  700/1773 calls, $0.0554 this session
  750/1773 calls, $0.0593 this session
  800/1773 calls, $0.0632 this session
  850/1773 calls, $0.0670 this session
  900/1773 calls, $0.0707 this session
  950/1773 calls, $0.0751 this session
  1000/1773 calls, $0.0789 this session
  1050/1773 calls, $0.0831 this session
  1100/1773 calls, $0.0871 this session
  1150/1773 calls, $0.0911 this session
  1200/1773 calls, $0.0955 this session
  1250/1773 calls, $0.0998 this session
  1300/1773 calls, $0.1044 this session
  1350/1773 calls, $0.1083 this session
  1400/1773 calls, $0.1123 this session
  1450/1773 calls, $0.1158 this session
  1500/1773 calls, $0.1200 this session
  1550/1773 calls, $0.1240 this session
  1600/1773 calls, $0.1283 this session
  1650/1773 calls, $0.1324 this session
  1700/1773 calls, $0.1367 this session
  1750/1773 calls, $0.1406 this session
  1773/1773 calls, $0.1427 this session
DONE deepseek/sentence shard 1: $0.142694 this session
deepseek/sentence shard 1/3: 167 docs, 1773 calls already done, 0 to run
DONE deepseek/sentence shard 1: $0.000000 this session
