llama/sentence shard 0/3: 167 docs, 0 calls already done, 1843 to run
  50/1843 calls, $0.0006 this session
  100/1843 calls, $0.0015 this session
llama/sentence shard 0/3: 167 docs, 104 calls already done, 1739 to run
  50/1739 calls, $0.0007 this session
  100/1739 calls, $0.0015 this session
  150/1739 calls, $0.0023 this session
  200/1739 calls, $0.0031 this session
  250/1739 calls, $0.0038 this session
  300/1739 calls, $0.0046 this session
  350/1739 calls, $0.0057 this session
  400/1739 calls, $0.0066 this session
  450/1739 calls, $0.0076 this session
  500/1739 calls, $0.0085 this session
  550/1739 calls, $0.0092 this session
  600/1739 calls, $0.0100 this session
  650/1739 calls, $0.0107 this session
  700/1739 calls, $0.0113 this session
  750/1739 calls, $0.0120 this session
  800/1739 calls, $0.0127 this session
  850/1739 calls, $0.0135 this session
  900/1739 calls, $0.0142 this session
  950/1739 calls, $0.0150 this session
  1000/1739 calls, $0.0160 this session
  1050/1739 calls, $0.0167 this session
  1100/1739 calls, $0.0175 this session
  1150/1739 calls, $0.0182 this session
  1200/1739 calls, $0.0188 this session
  1250/1739 calls, $0.0195 this session
  1300/1739 calls, $0.0203 this session
  1350/1739 calls, $0.0211 this session
  1400/1739 calls, $0.0219 this session
  1450/1739 calls, $0.0225 this session
  1500/1739 calls, $0.0232 this session
  1550/1739 calls, $0.0238 this session
  1600/1739 calls, $0.0245 this session
  1650/1739 calls, $0.0254 this session
llama/sentence shard 0/3: 167 docs, 1772 calls already done, 71 to run
  50/71 calls, $0.0008 this session
  71/71 calls, $0.0012 this session
DONE llama/sentence shard 0: $0.001161 this session
