deepseek/sentence shard 2/3: 166 docs, 0 calls already done, 1846 to run
  50/1846 calls, $0.0043 this session
  100/1846 calls, $0.0080 this session
  150/1846 calls, $0.0119 this session
  200/1846 calls, $0.0161 this session
  250/1846 calls, $0.0202 this session
  300/1846 calls, $0.0242 this session
  350/1846 calls, $0.0280 this session
  400/1846 calls, $0.0327 this session
  450/1846 calls, $0.0365 this session
  500/1846 calls, $0.0404 this session
  550/1846 calls, $0.0445 this session
  600/1846 calls, $0.0488 this session
  650/1846 calls, $0.0532 this session
  700/1846 calls, $0.0573 this session
  750/1846 calls, $0.0614 this session
  800/1846 calls, $0.0654 this session
  850/1846 calls, $0.0692 this session
  900/1846 calls, $0.0732 this session
  950/1846 calls, $0.0778 this session
  1000/1846 calls, $0.0822 this session
  1050/1846 calls, $0.0860 this session
  1100/1846 calls, $0.0901 this session
  1150/1846 calls, $0.0939 this session
  1200/1846 calls, $0.0974 this session
  1250/1846 calls, $0.1015 this session
  1300/1846 calls, $0.1053 this session
  1350/1846 calls, $0.1094 this session
  1400/1846 calls, $0.1134 this session
  1450/1846 calls, $0.1175 this session
  1500/1846 calls, $0.1214 this session
  1550/1846 calls, $0.1258 this session
  1600/1846 calls, $0.1296 this session
  1650/1846 calls, $0.1334 this session
  1700/1846 calls, $0.1376 this session
  1750/1846 calls, $0.1411 this session
  1800/1846 calls, $0.1454 this session
  1846/1846 calls, $0.1490 this session
DONE deepseek/sentence shard 2: $0.149022 this session
deepseek/sentence shard 2/3: 166 docs, 1846 calls already done, 0 to run
DONE deepseek/sentence shard 2: $0.000000 this session
