llama/sentence shard 1/3: 167 docs, 0 calls already done, 1773 to run
  50/1773 calls, $0.0007 this session
  100/1773 calls, $0.0015 this session
llama/sentence shard 1/3: 167 docs, 103 calls already done, 1670 to run
  50/1670 calls, $0.0007 this session
  100/1670 calls, $0.0014 this session
  150/1670 calls, $0.0021 this session
  200/1670 calls, $0.0029 this session
  250/1670 calls, $0.0035 this session
  300/1670 calls, $0.0044 this session
  350/1670 calls, $0.0053 this session
  400/1670 calls, $0.0063 this session
  450/1670 calls, $0.0074 this session
  500/1670 calls, $0.0085 this session
  550/1670 calls, $0.0093 this session
  600/1670 calls, $0.0102 this session
  650/1670 calls, $0.0110 this session
  700/1670 calls, $0.0120 this session
  750/1670 calls, $0.0126 this session
  800/1670 calls, $0.0132 this session
  850/1670 calls, $0.0140 this session
  900/1670 calls, $0.0148 this session
  950/1670 calls, $0.0154 this session
  1000/1670 calls, $0.0162 this session
  1050/1670 calls, $0.0170 this session
  1100/1670 calls, $0.0177 this session
  1150/1670 calls, $0.0186 this session
  1200/1670 calls, $0.0195 this session
  1250/1670 calls, $0.0202 this session
  1300/1670 calls, $0.0209 this session
  1350/1670 calls, $0.0215 this session
  1400/1670 calls, $0.0221 this session
  1450/1670 calls, $0.0228 this session
  1500/1670 calls, $0.0236 this session
  1550/1670 calls, $0.0244 this session
  1600/1670 calls, $0.0251 this session
  1650/1670 calls, $0.0257 this session
  1670/1670 calls, $0.0260 this session
DONE llama/sentence shard 1: $0.026017 this session
llama/sentence shard 1/3: 167 docs, 1773 calls already done, 0 to run
DONE llama/sentence shard 1: $0.000000 this session
