config,seed,final_iter_f1,held_out_test_f1,n_calls,n_errors,cost_usd
without_prob_kb,53,0.47619047619047616,0.4923076923076923,155,7,0.003805341999999999
without_prob_kb,54,0.6136865342163356,0.5954198473282444,155,4,0.0041473840000000005
without_prob_kb,55,0.568075117370892,0.5511811023622046,155,13,0.003390924000000001
without_prob_kb,56,0.49370277078085645,0.576271186440678,155,2,0.0031277449999999977
without_prob_kb,57,0.30403800475059384,0.606060606060606,155,16,0.003206480000000002
without_prob_kb,58,0.2598039215686274,0.10714285714285714,155,12,0.003114362000000003
without_prob_kb,59,0.5333333333333333,0.32061068702290074,155,19,0.0033734940000000008
without_prob_kb,68,0.38875878220140514,0.48854961832061067,155,11,0.003208836000000001
without_prob_kb,69,0.4668435013262599,0.3333333333333333,155,30,0.0031092520000000016
without_prob_kb,70,0.4780487804878049,0.23423423423423423,155,28,0.0031350850000000006
without_prob_kb,71,0.4461538461538461,0.3902439024390244,155,11,0.0036201630000000005
