config,seed,final_iter_f1,held_out_test_f1,n_calls,n_errors,cost_usd
without_feedback,54,0.4664879356568364,0.4770642201834863,155,1,0.002987054999999999
without_feedback,55,0.43967828418230565,0.3789473684210526,155,19,0.002617076000000001
without_feedback,56,0.41489361702127664,0.49090909090909096,155,5,0.002556241000000001
without_feedback,57,0.21875,0.4528301886792453,155,10,0.00271481
without_feedback,58,0.29444444444444445,0.08928571428571427,155,12,0.002574453999999999
without_feedback,59,0.5118483412322274,0.3389830508474576,155,10,0.003001353999999999
without_feedback,67,0.3662790697674418,0.19642857142857142,155,5,0.0028934949999999994
without_feedback,68,0.3367875647668394,0.25490196078431376,155,12,0.0025946100000000002
without_feedback,69,0.441025641025641,0.43333333333333335,155,8,0.0025543099999999997
without_feedback,70,0.41225626740947074,0.24242424242424243,155,15,0.0026789650000000006
without_feedback,71,0.38095238095238093,0.2201834862385321,155,21,0.0025420309999999997
