rule,tau,precision,recall,f1,tp,fp,fn
R1_max_merge,0.0,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.01,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.02,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.03,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.04,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.05,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.06,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.07,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.08,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.09,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.1,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.11,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.12,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.13,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.14,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.15,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.16,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.17,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.18,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.19,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.2,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.21,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.22,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.23,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.24,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.25,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.26,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.27,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.28,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.29,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.3,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.31,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.32,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.33,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.34,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.35,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.36,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.37,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.38,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.39,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.4,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.41,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.42,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.43,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.44,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.45,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.46,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.47,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.48,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.49,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.5,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.51,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.52,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.53,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.54,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.55,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.56,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.57,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.58,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.59,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.6,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.61,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.62,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.63,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.64,0.33762057877813506,1.0,0.5048076923076923,105,206,0
R1_max_merge,0.65,0.33762057877813506,1.0,0.5048076923076923,105,206,0
